# Trait Facts, Messung an einer lebenden Figur
# Build 42.20
# Traits geprueft: 97, Wirkungen: 120, Groessen lesbar: 18 von 24

[groessen] name|zustand|basiswert|herkunft
grapple|lesbar|1.000000|IsoGameCharacter:7917
chopTreeSpeed|lesbar|0.800000|IsoGameCharacter:12388
hearDistanceMod|lesbar|1.000000|IsoGameCharacter:13934
detectionRange|lesbar|3.500000|IsoGameCharacter:13952
blurFactor|lesbar|0.000000|IsoGameCharacter:14118
awkwardHands|lesbar|0.000000|IsoGameCharacter:14876
maxWeight|lesbar|8.000000|in Vanilla-Lua benutzt
meleeDamage|lesbar|1.000000|CharacterTraits:132
enduranceLoss|lesbar|1.000000|CharacterTraits:146
weatherPenalty|lesbar|1.500000|CharacterTraits:150
climbFailChance|lesbar|4.000000|Kandidat
climbStrength|fehlt|-|Kandidat
fallDamageMod|fehlt|-|Kandidat
pathSpeed|lesbar|0.054000|Kandidat
moveSpeed|lesbar|0.060000|Kandidat
combatSpeed|lesbar|1.010153|Kandidat
runSpeedMod|lesbar|1.000000|Kandidat
readingSpeed|fehlt|-|Kandidat
wornHearingMod|lesbar|1.000000|Kandidat
wornHearingMult|lesbar|1.000000|Kandidat
sightRange|fehlt|-|Kandidat
lowLightBonus|fehlt|-|Kandidat
temperature|fehlt|-|Kandidat
hyperthermiaMod|lesbar|1.000000|Kandidat

[wirkungen] trait|groesse|basis|mitTrait|prozent|faktor|differenz
adrenalinejunkie|combatSpeed|1.008102|1.031653|2.3361|1.023361|0.023551
agoraphobic|combatSpeed|1.008102|1.036491|2.8161|1.028161|0.028389
allthumbs|awkwardHands|0.000000|1.000000|0.0000|0.000000|1.000000
allthumbs|combatSpeed|1.008102|1.026701|1.8449|1.018449|0.018599
artisan|combatSpeed|1.008102|1.059039|5.0528|1.050528|0.050937
asthmatic|combatSpeed|1.008102|1.010658|0.2536|1.002536|0.002556
asthmatic|enduranceLoss|1.000000|1.200000|20.0000|1.200000|0.200000
athletic|combatSpeed|1.008102|1.062435|5.3897|1.053897|0.054333
athletic|grapple|1.000000|1.250000|25.0000|1.250000|0.250000
axeman|chopTreeSpeed|0.800000|1.000000|25.0000|1.250000|0.200000
axeman|combatSpeed|1.008102|0.995689|-1.2313|0.987687|-0.012413
baseballplayer|combatSpeed|1.008102|1.020319|1.2119|1.012119|0.012217
blacksmith2|combatSpeed|1.008102|1.064891|5.6333|1.056333|0.056789
blacksmith|combatSpeed|1.008102|1.013156|0.5014|1.005014|0.005054
brave|combatSpeed|1.008102|1.033928|2.5619|1.025619|0.025826
brave|grapple|1.000000|1.100000|10.0000|1.100000|0.100000
brawler|combatSpeed|1.008102|1.016229|0.8061|1.008061|0.008127
burglar|combatSpeed|1.008102|0.999004|-0.9025|0.990975|-0.009098
claustrophobic|combatSpeed|1.008102|0.992608|-1.5370|0.984630|-0.015494
clumsy|climbFailChance|4.000000|3.000000|-25.0000|0.750000|-1.000000
clumsy|combatSpeed|1.008102|0.994658|-1.3336|0.986664|-0.013444
conspicuous|combatSpeed|1.008102|1.023377|1.5153|1.015153|0.015275
cook2|combatSpeed|1.008102|1.072058|6.3442|1.063442|0.063956
cook|combatSpeed|1.008102|0.997240|-1.0775|0.989225|-0.010862
cowardly|combatSpeed|1.008102|1.079644|7.0967|1.070967|0.071542
cowardly|grapple|1.000000|0.900000|-10.0000|0.900000|-0.100000
crafty|combatSpeed|1.008102|1.017404|0.9227|1.009227|0.009302
deaf|combatSpeed|1.008102|1.063674|5.5126|1.055126|0.055573
deaf|detectionRange|3.500000|2.000000|-42.8571|0.571429|-1.500000
desensitized|combatSpeed|1.008102|1.013929|0.5780|1.005780|0.005827
dextrous|combatSpeed|1.008102|1.039572|3.1217|1.031217|0.031470
disorganized|combatSpeed|1.008102|1.020211|1.2011|1.012011|0.012109
eagleeyed|combatSpeed|1.008102|0.999304|-0.8727|0.991273|-0.008798
emaciated|combatSpeed|1.008102|0.997362|-1.0654|0.989346|-0.010740
emaciated|grapple|1.000000|0.600000|-40.0000|0.600000|-0.400000
emaciated|meleeDamage|1.000000|0.400000|-60.0000|0.400000|-0.600000
fasthealer|combatSpeed|1.008102|1.034386|2.6073|1.026073|0.026284
fastlearner|combatSpeed|1.008102|1.069250|6.0657|1.060657|0.061148
fastreader|combatSpeed|1.008102|1.017403|0.9226|1.009226|0.009301
feeble|combatSpeed|1.008102|1.074047|6.5415|1.065415|0.065945
firstaid|combatSpeed|1.008102|1.007137|-0.0957|0.999043|-0.000965
fishing|combatSpeed|1.008102|1.061168|5.2640|1.052640|0.053066
fit|combatSpeed|1.008102|1.010846|0.2722|1.002722|0.002744
formerscout|combatSpeed|1.008102|0.998079|-0.9942|0.990058|-0.010023
gardener|combatSpeed|1.008102|1.055733|4.7248|1.047248|0.047631
graceful|combatSpeed|1.008102|1.010054|0.1937|1.001937|0.001953
gymnast|combatSpeed|1.008102|1.053260|4.4795|1.044795|0.045158
handy|combatSpeed|1.008102|1.069925|6.1326|1.061326|0.061823
hardofhearing|combatSpeed|1.008102|1.045396|3.6995|1.036995|0.037295
hardofhearing|detectionRange|3.500000|2.500000|-28.5714|0.714286|-1.000000
hardofhearing|hearDistanceMod|1.000000|4.500000|350.0000|4.500000|3.500000
heartyappetite|combatSpeed|1.008102|1.073401|6.4775|1.064775|0.065300
hemophobic|combatSpeed|1.008102|1.010834|0.2710|1.002710|0.002732
herbalistprof|combatSpeed|1.008102|1.066089|5.7521|1.057521|0.057987
herbalist|combatSpeed|1.008102|1.061967|5.3432|1.053432|0.053865
highthirst|combatSpeed|1.008102|1.040152|3.1792|1.031792|0.032050
hiker|combatSpeed|1.008102|1.025400|1.7159|1.017159|0.017298
hunter|combatSpeed|1.008102|1.056958|4.8463|1.048463|0.048856
illiterate|combatSpeed|1.008102|1.061903|5.3369|1.053369|0.053801
inconspicuous|combatSpeed|1.008102|1.017631|0.9452|1.009452|0.009529
insomniac|combatSpeed|1.008102|1.037542|2.9203|1.029203|0.029440
inventiveprof|combatSpeed|1.008102|1.058812|5.0303|1.050303|0.050710
inventive|combatSpeed|1.008102|1.033219|2.4915|1.024915|0.025117
irongut|combatSpeed|1.008102|1.022886|1.4665|1.014665|0.014784
jogger|combatSpeed|1.008102|1.035731|2.7407|1.027407|0.027629
keenhearing|combatSpeed|1.008102|1.066139|5.7571|1.057571|0.058037
keenhearing|detectionRange|3.500000|6.500000|85.7143|1.857143|3.000000
lighteater|combatSpeed|1.008102|1.067955|5.9372|1.059372|0.059853
lowthirst|combatSpeed|1.008102|1.071323|6.2713|1.062713|0.063221
marksman|combatSpeed|1.008102|1.068745|6.0156|1.060156|0.060643
mason|combatSpeed|1.008102|1.051102|4.2655|1.042655|0.043000
mechanics2|combatSpeed|1.008102|1.026610|1.8359|1.018359|0.018508
mechanics|combatSpeed|1.008102|1.040603|3.2240|1.032240|0.032501
needslesssleep|combatSpeed|1.008102|1.006161|-0.1925|0.998075|-0.001941
needsmoresleep|combatSpeed|1.008102|1.069807|6.1209|1.061209|0.061705
nightowl|combatSpeed|1.008102|0.996110|-1.1896|0.988104|-0.011992
nightvision|combatSpeed|1.008102|1.030504|2.2222|1.022222|0.022402
nutritionist2|combatSpeed|1.008102|0.997914|-1.0106|0.989894|-0.010188
nutritionist|combatSpeed|1.008102|1.039466|3.1112|1.031112|0.031364
obese|climbFailChance|4.000000|0.000000|-100.0000|0.000000|-4.000000
obese|combatSpeed|1.008102|1.008463|0.0358|1.000358|0.000361
obese|grapple|1.000000|1.050000|5.0000|1.050000|0.050000
organized|combatSpeed|1.008102|1.056567|4.8075|1.048075|0.048465
outdoorsman|combatSpeed|1.008102|1.048559|4.0132|1.040132|0.040457
outdoorsman|weatherPenalty|1.500000|1.000000|-33.3333|0.666667|-0.500000
outofshape|combatSpeed|1.008102|1.037381|2.9044|1.029044|0.029279
overweight|climbFailChance|4.000000|2.000000|-50.0000|0.500000|-2.000000
overweight|combatSpeed|1.008102|1.025676|1.7433|1.017433|0.017574
overweight|grapple|1.000000|1.100000|10.0000|1.100000|0.100000
pacifist|combatSpeed|1.008102|1.004165|-0.3905|0.996095|-0.003937
pronetoillness|combatSpeed|1.008102|1.072312|6.3694|1.063694|0.064210
resilient|combatSpeed|1.008102|1.076015|6.7367|1.067367|0.067913
shortsighted|combatSpeed|1.008102|0.996762|-1.1248|0.988752|-0.011340
slowhealer|combatSpeed|1.008102|1.004250|-0.3821|0.996179|-0.003852
slowlearner|combatSpeed|1.008102|1.058086|4.9582|1.049582|0.049984
slowreader|combatSpeed|1.008102|1.065832|5.7266|1.057266|0.057730
smoker|combatSpeed|1.008102|0.991521|-1.6448|0.983552|-0.016581
speeddemon|combatSpeed|1.008102|1.035258|2.6938|1.026938|0.027156
speeddemon|grapple|1.000000|1.150000|15.0000|1.150000|0.150000
stout|combatSpeed|1.008102|1.075153|6.6513|1.066513|0.067052
strong|combatSpeed|1.008102|1.012985|0.4844|1.004844|0.004884
strong|grapple|1.000000|1.250000|25.0000|1.250000|0.250000
sundaydriver|combatSpeed|1.008102|1.018691|1.0504|1.010504|0.010589
tailor|combatSpeed|1.008102|1.039989|3.1630|1.031630|0.031887
targetshooter|combatSpeed|1.008102|1.060830|5.2304|1.052304|0.052728
thickskinned|combatSpeed|1.008102|1.069557|6.0961|1.060961|0.061455
thinskinned|combatSpeed|1.008102|1.028643|2.0376|1.020376|0.020541
tinkerer|combatSpeed|1.008102|1.050530|4.2087|1.042087|0.042428
underweight|combatSpeed|1.008102|1.054579|4.6104|1.046104|0.046477
underweight|meleeDamage|1.000000|0.800000|-20.0000|0.800000|-0.200000
unfit|combatSpeed|1.008102|1.048356|3.9931|1.039931|0.040254
veryunderweight|combatSpeed|1.008102|1.012675|0.4536|1.004536|0.004573
veryunderweight|grapple|1.000000|0.800000|-20.0000|0.800000|-0.200000
veryunderweight|meleeDamage|1.000000|0.600000|-40.0000|0.600000|-0.400000
weakstomach|combatSpeed|1.008102|1.049530|4.1095|1.041095|0.041428
weak|combatSpeed|1.008102|1.067274|5.8696|1.058696|0.059172
weightgain|combatSpeed|1.008102|1.043462|3.5076|1.035076|0.035360
weightloss|combatSpeed|1.008102|1.075315|6.6673|1.066673|0.067213
whittler|combatSpeed|1.008102|0.991239|-1.6727|0.983273|-0.016863
wildernessknowledge|combatSpeed|1.008102|1.035508|2.7186|1.027186|0.027406

[registry] trait|felder...
adrenalinejunkie|label=Adrenaline Junkie|cost=4|mpBanned=false|excludes=agoraphobic,claustrophobic,cowardly,desensitized
