# Laufen: Ausdauerverlust beim Rennen, Messung an einer lebenden Figur
# Mess-Mod 6.25.0
# Build 42.20
# je Phase 400 Ticks Rennen (Shift, nicht Sprint); Ausdauer in jedem Tick auf 0.9; God Mode aus
# Last (Stufe HEAVY_LOAD) in allen gezaehlten Ticks: 0
# rate = Summe Abzug / Summe Multiplier; median = Median der Einzelwerte Abzug / Multiplier
# faktor = Phase mit Trait / Mittel der Nachbarphasen ohne, Toleranz 2 %; faktor_median ebenso aus median
# laut Code: IsoPlayer.updateEndurance enddelta 1.4, Overweight 2.9, Athletic 0.8 (schlaegt Overweight); asth 0.7, Asthmatic 1.0

[ergebnis]
ergebnis|werte=4|stimmen=4|weichen_ab=0|nicht_messbar=0|phasen=9

[werte] wert|trait|faktor|faktor_median|soll_mod|soll_code|urteil|phasen
wert|overweight|2.0719|2.0720|2.0700|2.0714|stimmt|1
wert|athletic|0.5720|0.5720|0.5700|0.5714|stimmt|1
wert|asthmatic|1.4280|1.4280|1.4300|1.4286|stimmt|1
wert|overweight+athletic|0.5720|0.5720|-|0.5714|stimmt|1

[phasen] phase|nr|gruppe|ticks|rate|median|last|nicht_gezaehlt
phase|1|ohne|400|0.0000351657|0.0000351669|0|0
phase|2|dick|400|0.0000728613|0.0000728657|0|1
phase|3|ohne|400|0.0000351664|0.0000351669|0|0
phase|4|athlet|400|0.0000201155|0.0000201165|0|0
phase|5|ohne|400|0.0000351664|0.0000351667|0|0
phase|6|atem|400|0.0000502178|0.0000502174|0|0
phase|7|ohne|400|0.0000351667|0.0000351669|0|1
phase|8|beide|400|0.0000201162|0.0000201166|0|0
phase|9|ohne|400|0.0000351666|0.0000351667|0|0
