# Code-Werte: Messung an einer lebenden Figur
# Mess-Mod 6.22.0
# Build 42.20
# je Wert ohne und mit Trait gemessen, faktor = mit/ohne; soll_mod aus TF_Static (fehlt ohne Trait Facts oder ohne Zahl), soll_code aus dem gelesenen Code von 42.20
# verglichen mit soll_mod, sonst soll_code; Toleranz 0.006, bei Stichproben 5 % (verdorbenes Essen 20 %)
# Stichproben: je 500 Wunden oder Infektionsdauern, 1000 verdorbene Aepfel

[ergebnis]
ergebnis|werte=55|stimmen=55|weichen_ab=0|nicht_messbar=0

[werte] id|trait|ohne|mit|faktor|soll_mod|soll_code|urteil|notiz
wert|panik|brave|7.0000|2.1000|0.3000|0.3000|0.3000|stimmt
wert|panik|cowardly|7.0000|14.0000|2.0000|2.0000|2.0000|stimmt
wert|panik|desensitized|7.0000|0.0000|0.0000|-|0.0000|stimmt
wert|tempo3|adrenalinejunkie|0.8000|1.0000|1.2500|1.2500|1.2500|stimmt
wert|tempo4|adrenalinejunkie|0.8000|1.0500|1.3125|-|1.3125|stimmt
wert|tuer|jogger|0.1000|0.0900|0.9000|0.9000|0.9000|stimmt
wert|erholung|veryunderweight|1.2000|0.8400|0.7000|0.7000|0.7000|stimmt
wert|erholung|emaciated|1.2000|0.3600|0.3000|0.3000|0.3000|stimmt
wert|erholung|overweight|1.2000|0.8400|0.7000|0.7000|0.7000|stimmt
wert|erholung|obese|1.2000|0.4800|0.4000|0.4000|0.4000|stimmt
wert|rueckstoss|strong|0.4000|0.5600|1.4000|1.4000|1.4000|stimmt
wert|rueckstoss|weak|0.4000|0.2400|0.6000|0.6000|0.6000|stimmt
wert|zielzeit|dextrous|25.0000|20.0000|0.8000|0.8000|0.8000|stimmt
wert|zielzeit|allthumbs|25.0000|30.0000|1.2000|1.2000|1.2000|stimmt
wert|zielruhe|marksman|0.5118|0.5630|1.1000|1.1000|1.1000|stimmt
wert|sicht|eagleeyed|10.0000|12.0000|1.2000|1.2000|1.2000|stimmt
wert|biss|fasthealer|64.3342|40.1277|0.6237|0.6200|0.6154|stimmt
wert|biss|slowhealer|64.3342|115.0294|1.7880|1.7700|1.7692|stimmt
wert|schnitt|fasthealer|15.0901|7.3846|0.4894|-|0.5000|stimmt
wert|schnitt|slowhealer|15.0901|24.9019|1.6502|-|1.6667|stimmt
wert|kratzer|fasthealer|10.9153|6.9912|0.6405|-|0.6364|stimmt
wert|kratzer|slowhealer|10.9153|19.8962|1.8228|-|1.8182|stimmt
wert|waffenkratzer|fasthealer|7.6118|3.0058|0.3949|-|0.4000|stimmt
wert|waffenkratzer|slowhealer|7.6118|15.0257|1.9740|-|2.0000|stimmt
wert|fensterkratzer|fasthealer|16.0273|7.5019|0.4681|-|0.4688|stimmt
wert|fensterkratzer|slowhealer|16.0273|24.9968|1.5596|-|1.5625|stimmt
wert|schnittkratzer|fasthealer|-|-|0.4982|0.5000|0.5013|stimmt
wert|schnittkratzer|slowhealer|-|-|1.7517|1.7600|1.7618|stimmt
wert|tiefewunde|fasthealer|17.4936|12.9875|0.7424|0.7400|0.7429|stimmt
wert|tiefewunde|slowhealer|17.4936|25.9510|1.4835|1.4900|1.4857|stimmt
wert|bruch|fasthealer|10.0000|6.0000|0.6000|0.6000|0.6000|stimmt
wert|bruch|slowhealer|10.0000|18.0000|1.8000|1.8000|1.8000|stimmt
wert|gift|irongut|10.0000|5.0000|0.5000|0.5000|0.5000|stimmt
wert|gift|weakstomach|10.0000|20.0000|2.0000|2.0000|2.0000|stimmt
wert|verdorben|irongut|0.4110|0.1700|0.4136|0.5000|0.5000|stimmt
wert|verdorben|weakstomach|0.4110|0.8120|1.9757|2.0000|2.0000|stimmt
wert|wasser|irongut|10.5000|0.0000|0.0000|0.0000|0.0000|stimmt
wert|wasser|weakstomach|10.5000|12.6000|1.2000|1.2000|1.2000|stimmt
wert|kaelteverlauf|resilient|0.0048|0.0038|0.8002|0.8000|0.8000|stimmt
wert|kaelteverlauf|pronetoillness|0.0048|0.0057|1.1998|1.2000|1.2000|stimmt
wert|kaelteerholung|resilient|0.0096|0.0144|1.4996|1.5000|1.5000|stimmt
wert|kaelteerholung|pronetoillness|0.0096|0.0048|0.4996|0.5000|0.5000|stimmt
wert|zombie|resilient|60.6760|74.9562|1.2354|1.2500|1.2500|stimmt
wert|zombie|pronetoillness|60.6760|44.9595|0.7410|0.7500|0.7500|stimmt
wert|lesen|fastreader|79200.0000|55440.0000|0.7000|0.7000|0.7000|stimmt
wert|lesen|slowreader|79200.0000|102960.0000|1.3000|1.3000|1.3000|stimmt
wert|forschen|fastlearner|450.0000|315.0000|0.7000|0.7000|0.7000|stimmt
wert|forschen|slowlearner|450.0000|585.0000|1.3000|1.3000|1.3000|stimmt
wert|umlagern|dextrous|75.0000|37.5000|0.5000|0.5000|0.5000|stimmt
wert|umlagern|allthumbs|75.0000|150.0000|2.0000|2.0000|2.0000|stimmt
wert|bauen|handy|200.0000|150.0000|0.7500|0.7500|0.7500|stimmt
wert|barrikade|handy|100.0000|80.0000|0.8000|0.8000|0.8000|stimmt
wert|abbauen|handy|200.0000|180.0000|0.9000|0.9000|0.9000|stimmt
wert|xp|crafty|20.0000|26.0000|1.3000|1.3000|1.3000|stimmt
wert|xp|pacifist|20.0000|15.0000|0.7500|0.7500|0.7500|stimmt
