# Code-Werte: Messung an einer lebenden Figur
# Mess-Mod 6.24.0
# Build 42.20
# je Wert ohne und mit Trait gemessen, faktor = mit/ohne; soll_mod aus TF_Static (fehlt ohne Trait Facts oder ohne Zahl), soll_code aus dem gelesenen Code von 42.20
# verglichen mit soll_mod, sonst soll_code; Toleranz 0.006, bei Stichproben 5 % (verdorbenes Essen 20 %)
# Stichproben: je 500 Wunden oder Infektionsdauern, 1000 verdorbene Aepfel
# Gruppen mit differenz (seit 6.24.0): faktor = mit - ohne, weil ohne Trait nichts passiert; die Notiz sagt es

[ergebnis]
ergebnis|werte=71|stimmen=70|weichen_ab=1|nicht_messbar=0

[werte] id|trait|ohne|mit|faktor|soll_mod|soll_code|urteil|notiz
wert|panik|brave|7.0000|2.1000|0.3000|0.3000|0.3000|stimmt
wert|panik|cowardly|7.0000|14.0000|2.0000|2.0000|2.0000|stimmt
wert|panik|desensitized|7.0000|0.0000|0.0000|-|0.0000|stimmt
wert|tempo3|adrenalinejunkie|0.8000|1.0000|1.2500|1.2500|1.2500|stimmt
wert|tempo4|adrenalinejunkie|0.8000|1.0500|1.3125|-|1.3125|stimmt
wert|tuer|jogger|0.1000|0.0900|0.9000|0.9000|0.9000|stimmt
wert|erholung|veryunderweight|1.2000|0.8400|0.7000|0.7000|0.7000|stimmt
wert|erholung|emaciated|1.2000|0.3600|0.3000|0.3000|0.3000|stimmt
wert|erholung|overweight|1.2000|0.8400|0.7000|0.7000|0.7000|stimmt
wert|erholung|obese|1.2000|0.4800|0.4000|0.4000|0.4000|stimmt
wert|rueckstoss|strong|0.4000|0.5600|1.4000|1.4000|1.4000|stimmt
wert|rueckstoss|weak|0.4000|0.2400|0.6000|0.6000|0.6000|stimmt
wert|zielzeit|dextrous|25.0000|20.0000|0.8000|0.8000|0.8000|stimmt
wert|zielzeit|allthumbs|25.0000|30.0000|1.2000|1.2000|1.2000|stimmt
wert|zielruhe|marksman|0.4989|0.5488|1.1000|1.1000|1.1000|stimmt
wert|sicht|eagleeyed|10.0000|12.0000|1.2000|1.2000|1.2000|stimmt
wert|biss|fasthealer|65.1909|39.6740|0.6086|0.6200|0.6154|stimmt
wert|biss|slowhealer|65.1909|114.2340|1.7523|1.7700|1.7692|stimmt
wert|schnitt|fasthealer|14.7751|7.5896|0.5137|-|0.5000|stimmt
wert|schnitt|slowhealer|14.7751|25.1251|1.7005|-|1.6667|stimmt
wert|kratzer|fasthealer|10.9975|7.0038|0.6369|-|0.6364|stimmt
wert|kratzer|slowhealer|10.9975|20.1366|1.8310|-|1.8182|stimmt
wert|waffenkratzer|fasthealer|7.5230|2.9529|0.3925|-|0.4000|stimmt
wert|waffenkratzer|slowhealer|7.5230|14.8559|1.9747|-|2.0000|stimmt
wert|fensterkratzer|fasthealer|16.2089|7.4708|0.4609|-|0.4688|stimmt
wert|fensterkratzer|slowhealer|16.2089|25.0693|1.5466|-|1.5625|stimmt
wert|schnittkratzer|fasthealer|-|-|0.5010|0.5000|0.5013|stimmt
wert|schnittkratzer|slowhealer|-|-|1.7632|1.7600|1.7618|stimmt
wert|tiefewunde|fasthealer|17.6080|13.0657|0.7420|0.7400|0.7429|stimmt
wert|tiefewunde|slowhealer|17.6080|25.8919|1.4705|1.4900|1.4857|stimmt
wert|bruch|fasthealer|10.0000|6.0000|0.6000|0.6000|0.6000|stimmt
wert|bruch|slowhealer|10.0000|18.0000|1.8000|1.8000|1.8000|stimmt
wert|gift|irongut|10.0000|5.0000|0.5000|0.5000|0.5000|stimmt
wert|gift|weakstomach|10.0000|20.0000|2.0000|2.0000|2.0000|stimmt
wert|verdorben|irongut|0.4250|0.1920|0.4518|0.5000|0.5000|stimmt
wert|verdorben|weakstomach|0.4250|0.7980|1.8776|2.0000|2.0000|stimmt
wert|wasser|irongut|10.5000|0.0000|0.0000|0.0000|0.0000|stimmt
wert|wasser|weakstomach|10.5000|12.6000|1.2000|1.2000|1.2000|stimmt
wert|kaelteverlauf|resilient|0.0084|0.0067|0.8001|0.8000|0.8000|stimmt
wert|kaelteverlauf|pronetoillness|0.0084|0.0101|1.1999|1.2000|1.2000|stimmt
wert|kaelteerholung|resilient|0.0095|0.0143|1.5000|1.5000|1.5000|stimmt
wert|kaelteerholung|pronetoillness|0.0095|0.0048|0.5000|0.5000|0.5000|stimmt
wert|zombie|resilient|60.0905|74.7951|1.2447|1.2500|1.2500|stimmt
wert|zombie|pronetoillness|60.0905|44.9532|0.7481|0.7500|0.7500|stimmt
wert|lesen|fastreader|79200.0000|55440.0000|0.7000|0.7000|0.7000|stimmt
wert|lesen|slowreader|79200.0000|102960.0000|1.3000|1.3000|1.3000|stimmt
wert|forschen|fastlearner|450.0000|315.0000|0.7000|0.7000|0.7000|stimmt
wert|forschen|slowlearner|450.0000|585.0000|1.3000|1.3000|1.3000|stimmt
wert|umlagern|dextrous|75.0000|37.5000|0.5000|0.5000|0.5000|stimmt
wert|umlagern|allthumbs|75.0000|150.0000|2.0000|2.0000|2.0000|stimmt
wert|bauen|handy|200.0000|150.0000|0.7500|0.7500|0.7500|stimmt
wert|barrikade|handy|100.0000|80.0000|0.8000|0.8000|0.8000|stimmt
wert|abbauen|handy|200.0000|180.0000|0.9000|0.9000|0.9000|stimmt
wert|xp|crafty|20.0000|26.0000|1.3000|1.3000|1.3000|stimmt
wert|xp|pacifist|20.0000|15.0000|0.7500|0.7500|0.7500|stimmt
wert|grillfeuer|outdoorsman|0.0033|0.0067|2.0000|2.0000|2.0000|stimmt
wert|grillbruch|outdoorsman|0.0033|0.0022|0.6667|0.6670|0.6667|stimmt
wert|lagerfeuer|wildernessknowledge|0.0033|0.0067|2.0000|2.0000|2.0000|stimmt
wert|lagerfeuer|formerscout|0.0033|0.0067|2.0000|2.0000|2.0000|stimmt
wert|lagerbruch|wildernessknowledge|0.0033|0.0022|0.6667|0.6670|0.6667|stimmt
wert|lagerbruch|formerscout|0.0033|0.0022|0.6667|0.6670|0.6667|stimmt
wert|leiche|brave|0.0080|0.0040|0.5000|0.5000|0.5000|stimmt
wert|leiche|cowardly|0.0080|0.0160|2.0000|2.0000|2.0000|stimmt
wert|leiche|desensitized|0.0080|0.0000|0.0000|-|0.0000|stimmt
wert|blutsache|hemophobic|0.0000|1.0000|1.0000|-|1.0000|stimmt|Differenz mit - ohne
wert|verbinden|hemophobic|0.0000|50.0000|50.0000|50.0000|50.0000|stimmt|Differenz mit - ohne
wert|lesenseiten|illiterate|5.0000|0.0000|0.0000|-|0.0000|stimmt
wert|ei|irongut|15.0000|0.0000|0.0000|-|0.0000|stimmt
wert|krit|marksman|90.0000|90.0000|0.0000|10.0000|10.0000|weicht ab|Differenz mit - ohne
wert|forschungsstufe|inventive|4.0000|2.0000|-2.0000|-2.0000|-2.0000|stimmt|Differenz mit - ohne
wert|forschungsstufe|inventiveprof|4.0000|2.0000|-2.0000|-2.0000|-2.0000|stimmt|Differenz mit - ohne
