# Klettern, Messung an einer lebenden Figur
# Mess-Mod 6.40.1
# Build 42.20
# je Fall Fitness, Strength, Nimble einzeln 0-10, die anderen auf 0
# sicherheit = getClimbingFailChanceFloat(), seil = getClimbRopeSpeed(false/true), tragen = getMaxWeight()
# nicht lesbar: keine

[abweichungen] fall|achse=stufe|groesse|ohne Trait->mit Trait
abweichung|clumsy|fitness=2|sicherheit|2.0000->1.0000
abweichung|clumsy|fitness=3|sicherheit|2.0000->1.0000
abweichung|clumsy|fitness=5|sicherheit|3.0000->2.0000
abweichung|clumsy|fitness=6|sicherheit|3.0000->2.0000
abweichung|clumsy|fitness=7|sicherheit|3.0000->2.0000
abweichung|clumsy|fitness=8|sicherheit|4.0000->2.0000
abweichung|clumsy|fitness=9|sicherheit|4.0000->3.0000
abweichung|clumsy|fitness=10|sicherheit|4.0000->3.0000
abweichung|clumsy|strength=2|sicherheit|2.0000->1.0000
abweichung|clumsy|strength=3|sicherheit|2.0000->1.0000
abweichung|clumsy|strength=5|sicherheit|3.0000->2.0000
abweichung|clumsy|strength=6|sicherheit|3.0000->2.0000
abweichung|clumsy|strength=7|sicherheit|3.0000->2.0000
abweichung|clumsy|strength=8|sicherheit|4.0000->2.0000
abweichung|clumsy|strength=9|sicherheit|4.0000->3.0000
abweichung|clumsy|strength=10|sicherheit|4.0000->3.0000
abweichung|clumsy|nimble=2|sicherheit|2.0000->1.0000
abweichung|clumsy|nimble=3|sicherheit|2.0000->1.0000
abweichung|clumsy|nimble=5|sicherheit|3.0000->2.0000
abweichung|clumsy|nimble=6|sicherheit|3.0000->2.0000
abweichung|clumsy|nimble=7|sicherheit|3.0000->2.0000
abweichung|clumsy|nimble=8|sicherheit|4.0000->2.0000
abweichung|clumsy|nimble=9|sicherheit|4.0000->3.0000
abweichung|clumsy|nimble=10|sicherheit|4.0000->3.0000
abweichung|overweight|fitness=1|sicherheit|1.0000->0.0000
abweichung|overweight|fitness=1|hoch|0.0250->0.0200
abweichung|overweight|fitness=2|sicherheit|2.0000->0.0000
abweichung|overweight|fitness=2|hoch|0.0300->0.0250
abweichung|overweight|fitness=3|sicherheit|2.0000->0.0000
abweichung|overweight|fitness=3|hoch|0.0350->0.0300
abweichung|overweight|fitness=4|sicherheit|2.0000->0.0000
abweichung|overweight|fitness=4|hoch|0.0800->0.0350
abweichung|overweight|fitness=5|sicherheit|3.0000->0.0000
