# Trait Facts Menue-Prueflauf, Mess-Mod 6.40.5, Trait Facts 0.12.14, Spiel 42.20.4 b0bbce05d5
# klick|art|id|urteil|was; zufall|nr|urteil|code|was; tooltip|liste|id|breite|hoehe|urteil; pruef|name|urteil|was
wert|mods|6|TraitFacts, TraitFactsMeasure, TraitFactsDemoPack, moreTraitsDefinitive (und 2 Hilfsmods ohne Traits)
# 25 Berufe, 177 Traits, 100 Zufalls-Builds
pruef|hooks-laufen|ok|alle Hooks der Charaktererstellung liefen
pruef|fehler-vor-dem-lauf|ok|nichts abgefangen
pruef|paket-fassung|ok|mod.info 0.12.14, TF.VERSION 0.12.14
wert|paket-quelle|workshop-paket|%USERPROFILE%/Zomboid/Workshop/TraitFacts/Contents/mods/TraitFacts/
pruef|paket-bild-tf_copy|ok|geladen
pruef|paket-bild-tf_paste|ok|geladen
pruef|paket-bild-tf_arrow_on|ok|geladen
pruef|paket-bild-tf_arrow_off|ok|geladen
pruef|paket-bild-tf_toast_ok|ok|geladen
pruef|paket-bild-tf_toast_warn|ok|geladen
pruef|paket-bild-tf_toast_error|ok|geladen
pruef|paket-bild-tf_toast_info|ok|geladen
pruef|paket-bild-tf_toast_ask|ok|geladen
pruef|kopfzeile-tfGearButton|ok|Knopf mit Symbol
pruef|kopfzeile-tfBugButton|ok|Knopf mit Symbol
pruef|kopfzeile-tfCopyButton|ok|Knopf mit Symbol
pruef|kopfzeile-tfPasteButton|ok|Knopf mit Symbol
pruef|hinweis-kopieren|ok|Code TF=dlg1RjWSK, Hinweis ok
pruef|code-reihenfolge-egal|ok|TF=dlg1RjWSK / TF=dlg1RjWSK
pruef|hinweis-einfuegen|ok|danach TF=dlg1RjWSK, Hinweis ok
pruef|hinweis-halber-code|ok|TF=dlg1R: Hinweis warn, Beruf base:fireofficer
pruef|hinweis-kein-code|ok|Hinweis error, Auswahl unveraendert
pruef|kein-phantom-mod|ok|der Mod-Speicher bleibt sauber
pruef|hinweise-ohne-fehler|ok|nichts abgefangen
pruef|spannen-adrenaline|ok|+13 bis +16 % und +10 bis +14 % stehen im Block, Farbe good
pruef|spielfarben|ok|good Vorgabe: 0.45,0.72,0.48; bad Vorgabe: 0.82,0.50,0.47, Schema standard
pruef|leichte-kaelte-eine-zeile|ok|"Keine Erkältung bei nur leichter Kälte" steht 1 mal in der Uebersicht
pruef|optionskarte-showdead|ok|Haken an: Rahmen 2, Haken aus: Rahmen 1, Karte im Bild
pruef|optionskarte-showexcludes|ok|Haken an: Rahmen 2, Haken aus: Rahmen 1, Karte im Bild
pruef|optionskarte-ohne-fehler|ok|nichts abgefangen
klick|beruf|base:fisherman|ok|
klick|beruf|base:doctor|ok|
klick|beruf|base:unemployed|ok|
klick|beruf|base:constructionworker|ok|
klick|beruf|base:farmer|ok|
klick|beruf|base:burglar|ok|
klick|beruf|base:electrician|ok|
klick|beruf|base:fireofficer|ok|
klick|beruf|base:fitnessinstructor|ok|
klick|beruf|base:burgerflipper|ok|
klick|beruf|base:repairman|ok|
klick|beruf|base:lumberjack|ok|
klick|beruf|base:engineer|ok|
klick|beruf|base:mechanics|ok|
klick|beruf|base:nurse|ok|
klick|beruf|base:chef|ok|
klick|beruf|base:policeofficer|ok|
klick|beruf|base:rancher|ok|
klick|beruf|base:metalworker|ok|
klick|beruf|base:smither|ok|
klick|beruf|base:tailor|ok|
klick|beruf|base:veteran|ok|
klick|beruf|base:securityguard|ok|
klick|beruf|base:parkranger|ok|
klick|beruf|base:carpenter|ok|
klick|trait|base:speeddemon|ok|
klick|trait|toadtraits:preparedcar|ok|
klick|trait|toadtraits:preparedcamp|ok|
klick|trait|toadtraits:preparedfood|ok|
klick|trait|toadtraits:preparedcoordination|ok|
klick|trait|toadtraits:preparedmedical|ok|
klick|trait|toadtraits:preparedammo|ok|
klick|trait|toadtraits:preparedpack|ok|
klick|trait|toadtraits:preparedweapon|ok|
klick|trait|toadtraits:preparedrepair|ok|
klick|trait|base:lighteater|ok|
klick|trait|toadtraits:leadfoot|ok|
klick|trait|base:irongut|ok|
klick|trait|base:inventive|ok|
klick|trait|base:nutritionist|ok|
klick|trait|base:firstaid|ok|
klick|trait|toadtraits:generator|ok|
klick|trait|base:dextrous|ok|
klick|trait|base:gardener|ok|
klick|trait|base:lowthirst|ok|
klick|trait|base:artisan|ok|
klick|trait|toadtraits:quiet|ok|
klick|trait|base:mason|ok|
klick|trait|base:outdoorsman|ok|
klick|trait|toadtraits:swift|ok|
klick|trait|base:fastreader|ok|
klick|trait|base:whittler|ok|
klick|trait|toadtraits:flexible|ok|
klick|trait|toadtraits:blissful|ok|
klick|trait|base:mechanics|ok|
klick|trait|toadtraits:noxpaxe|ok|
klick|trait|toadtraits:noxpshooter|ok|
klick|trait|toadtraits:noxptechnician|ok|
klick|trait|toadtraits:noxpsneaky|ok|
klick|trait|base:nightvision|ok|
klick|trait|toadtraits:tavernbrawler|ok|
klick|trait|base:cook|ok|
klick|trait|toadtraits:vagabond|ok|
klick|trait|base:crafty|ok|
klick|trait|toadtraits:scrapper|ok|
klick|trait|base:needslesssleep|ok|
klick|trait|toadtraits:quickrest|ok|
klick|trait|toadtraits:noxpfirstaid|ok|
klick|trait|toadtraits:noxpmaintenance|ok|
klick|trait|base:adrenalinejunkie|ok|
klick|trait|base:graceful|ok|
klick|trait|base:baseballplayer|ok|
klick|trait|toadtraits:thickblood|ok|
klick|trait|base:fishing|ok|
klick|trait|toadtraits:lucky|ok|
klick|trait|toadtraits:grunt|ok|
klick|trait|toadtraits:fitted|ok|
klick|trait|toadtraits:idealweight|ok|
klick|trait|base:herbalist|ok|
klick|trait|base:eagleeyed|ok|
klick|trait|base:jogger|ok|
klick|trait|base:brave|ok|
klick|trait|toadtraits:natural|ok|
klick|trait|base:tailor|ok|
klick|trait|base:organized|ok|
klick|trait|base:resilient|ok|
klick|trait|toadtraits:gourmand|ok|
klick|trait|base:tinkerer|ok|
klick|trait|base:inconspicuous|ok|
klick|trait|toadtraits:expertdriver|ok|
klick|trait|toadtraits:bladetwirl|ok|
klick|trait|toadtraits:gymgoer|ok|
klick|trait|toadtraits:martial|ok|
klick|trait|toadtraits:olympian|ok|
klick|trait|toadtraits:blunttwirl|ok|
klick|trait|toadtraits:scrounger|ok|
klick|trait|base:gymnast|ok|
klick|trait|toadtraits:tinkerer|ok|
klick|trait|toadtraits:bouncer|ok|
klick|trait|base:hiker|ok|
klick|trait|base:target_shooter|ok|
klick|trait|toadtraits:antique|ok|
klick|trait|base:formerscout|ok|
klick|trait|toadtraits:restfulsleeper|ok|
klick|trait|base:fit|ok|
klick|trait|toadtraits:gordanite|ok|
klick|trait|base:keenhearing|ok|
klick|trait|base:brawler|ok|
klick|trait|base:blacksmith|ok|
klick|trait|toadtraits:fast|ok|
klick|trait|base:fasthealer|ok|
klick|trait|base:fastlearner|ok|
klick|trait|base:stout|ok|
klick|trait|toadtraits:unwavering|ok|
klick|trait|toadtraits:hardy|ok|
klick|trait|toadtraits:problunt|ok|
klick|trait|toadtraits:progun|ok|
klick|trait|toadtraits:graverobber|ok|
klick|trait|toadtraits:packmule|ok|
klick|trait|toadtraits:batteringram|ok|
klick|trait|toadtraits:problade|ok|
klick|trait|toadtraits:prospear|ok|
klick|trait|toadtraits:actionhero|ok|
klick|trait|toadtraits:evasive|ok|
klick|trait|base:thickskinned|ok|
klick|trait|base:handy|ok|
klick|trait|base:hunter|ok|
klick|trait|toadtraits:wildsman|ok|
klick|trait|toadtraits:gunspecialist|ok|
klick|trait|base:wildernessknowledge|ok|
klick|trait|toadtraits:ingenuitive|ok|
klick|trait|toadtraits:quickworker|ok|
klick|trait|base:athletic|ok|
klick|trait|base:strong|ok|
klick|trait|toadtraits:superimmune|ok|
klick|trait|toadtraits:indefatigable|ok|
klick|trait|toadtraits:secondwind|ok|
klick|trait|toadtraits:specaid|ok|
klick|trait|toadtraits:speccrafting|ok|
klick|trait|toadtraits:specfood|ok|
klick|trait|toadtraits:specmove|ok|
klick|trait|toadtraits:specweapons|ok|
klick|trait|toadtraits:specguns|ok|
klick|trait|toadtraits:terminator|ok|
klick|trait|base:sundaydriver|ok|
klick|trait|base:highthirst|ok|
klick|trait|base:cowardly|ok|
klick|trait|base:shortsighted|ok|
klick|trait|base:slowreader|ok|
klick|trait|base:weightgain|ok|
klick|trait|base:weakstomach|ok|
klick|trait|base:weightloss|ok|
klick|trait|base:allthumbs|ok|
klick|trait|base:clumsy|ok|
klick|trait|base:slowhealer|ok|
klick|trait|base:smoker|ok|
klick|trait|toadtraits:badteeth|ok|
klick|trait|base:agoraphobic|ok|
klick|trait|toadtraits:ascetic|ok|
klick|trait|base:conspicuous|ok|
klick|trait|toadtraits:depressive|ok|
klick|trait|toadtraits:anemic|ok|
klick|trait|base:heartyappetite|ok|
klick|trait|base:claustrophobic|ok|
klick|trait|toadtraits:paranoia|ok|
klick|trait|base:needsmoresleep|ok|
klick|trait|base:pronetoillness|ok|
klick|trait|base:hardofhearing|ok|
klick|trait|toadtraits:selfdestructive|ok|
klick|trait|toadtraits:unlucky|ok|
