# Fenster aufbrechen: Runner (jogger) und Burglar am verriegelten Fenster
# Mess-Mod 6.50.1
# Build 42.20
# gespielt, nicht aufgerufen: OpenWindowState.onAttemptFinished ist privat und nur ueber AnimEvent erreichbar
# Fenster 10818,9444,0 N, Strength 5, Fitness 5, Alarm keiner
# verglichen mit soll_mod (TF_Static), sonst soll_code; Toleranz je Zeile in der Notiz

[ergebnis]
ergebnis|werte=8|stimmen=3|weichen_ab=0|nicht_messbar=5|verworfen=0

[werte] id|trait|ohne|mit|faktor|soll_mod|soll_code|urteil|notiz
wert|normal|jogger|0.0000|0.0000|0.0000|-|0.0000|stimmt|Verlust je Oeffnen und Schliessen, faktor = der groessere; Abzuege ueber 0.001: 0 ohne, 0 mit Runner (soll 0)
wert|aufbrechen|jogger|-|-|-|0.9000|0.9000|nicht messbar|Abzug je Versuch, 0 Versuche ohne, 0 mit Runner
wert|aufbrechen_abzug|ohne|-|-|-|-|0.0060|nicht messbar|Abzug je Versuch bei Fitness 5, Toleranz 5 %
wert|fensterklemmt|ohne|55.0000|-|55.0000|49.0000|48.9996|stimmt|Prozent der Fenster, die klemmen: 22 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|fensterklemmt|burglar|-|27.5000|27.5000|31.0000|31.2763|stimmt|Prozent der Fenster, die klemmen: 11 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|versuchklemmt|burglar|-|-|-|-|0.5000|nicht messbar|Prozent Klemmen je Versuch, 0 und 0 Versuche (soll 10 und 5, Z. 163-168); Toleranz 2 Standardfehler
wert|versuchauf|ohne|-|-|-|-|11.5648|nicht messbar|Prozent Oeffnen je nicht klemmendem Versuch, -22 Versuche (Z. 177-188)
wert|versuchauf|burglar|-|-|-|-|11.5648|nicht messbar|dasselbe mit Burglar, -11 Versuche; Burglar aendert s nicht

[durchgaenge] nr|art|fall|ergebnis|ausgang|gilt|versuche|ticks|regen_je_tick|verlust|abzuege
durchgang|1|oeffnen|ohne|auf|fertig|1|0|205|0.0000000|0.00000|
durchgang|2|schliessen|ohne|zu|fertig|1|0|223|0.0000000|0.00000|
durchgang|3|oeffnen|jogger|auf|fertig|1|0|198|0.0000000|0.00000|
durchgang|4|schliessen|jogger|zu|fertig|1|0|249|0.0000000|0.00000|
durchgang|5|oeffnen|ohne|auf|fertig|1|0|211|0.0000000|0.00000|
durchgang|6|schliessen|ohne|zu|fertig|1|0|248|0.0000000|0.00000|
durchgang|7|oeffnen|jogger|auf|fertig|1|0|211|0.0000000|0.00000|
durchgang|8|schliessen|jogger|zu|fertig|1|0|252|0.0000000|0.00000|
durchgang|9|ringen|ohne|auf|fertig|1|0|709|0.0000000|0.00000|
durchgang|10|ringen|burglar|auf|fertig|1|0|1190|0.0000000|0.00000|
durchgang|11|ringen|jogger|klemmt|fertig|1|0|349|0.0000000|0.00000|
durchgang|12|ringen|ohne|klemmt|fertig|1|0|451|0.0000000|0.00000|
durchgang|13|ringen|burglar|auf|fertig|1|0|707|0.0000000|0.00000|
durchgang|14|ringen|jogger|klemmt|fertig|1|0|449|0.0000000|0.00000|
durchgang|15|ringen|ohne|auf|fertig|1|0|607|0.0000000|0.00000|
durchgang|16|ringen|burglar|auf|fertig|1|0|410|0.0000000|0.00000|
durchgang|17|ringen|jogger|auf|fertig|1|0|301|0.0000000|0.00000|
durchgang|18|ringen|ohne|auf|fertig|1|0|401|0.0000000|0.00000|
durchgang|19|ringen|burglar|auf|fertig|1|0|397|0.0000000|0.00000|
durchgang|20|ringen|jogger|klemmt|fertig|1|0|927|0.0000000|0.00000|
durchgang|21|ringen|ohne|klemmt|fertig|1|0|1094|0.0000000|0.00000|
durchgang|22|ringen|burglar|auf|fertig|1|0|843|0.0000000|0.00000|
durchgang|23|ringen|jogger|auf|fertig|1|0|468|0.0000000|0.00000|
durchgang|24|ringen|ohne|klemmt|fertig|1|0|217|0.0000000|0.00000|
