# Adrenalin: Gehtempo bei Panik mit Adrenaline Junkie, Messung an einer lebenden Figur
# Mess-Mod 6.51.0
# Build 42.20
# je Phase 300 gezaehlte Ticks Gehen (ohne Shift), nach jedem Umschalten und jeder Pause 15 Ticks Anlauf; Panik in jedem Tick auf 90 (Stufe 4), Ausdauer auf 1; God Mode aus
# WalkSpeed ohne Trait im Mittel 0.6500 (0.8000 mit Schuhen, ohne Last, bei normaler Waerme)
# tempo = Summe Strecke / Summe Multiplier; walkspeed und getmovespeed = Mittel der gezaehlten Ticks; felder_je_s aus der Uhr
# faktor = Phase mit Trait / Mittel der Nachbarphasen ohne; Toleranz 3 %, WalkSpeed-Zeilen absolut 0.006
# laut Code: calculateBaseSpeed (IsoGameCharacter Z. 8754-8764) 0.8, mit Adrenaline Junkie ab Panikstufe 3 +(Stufe+1)/20, auf Stufe 4 1.05; calculateWalkSpeed deckelt bei 1.0 (Z. 8985): WalkSpeed 1.0 statt 0.8
# WalkSpeed ist m_Scalar2, die Blendlage zwischen Bob_WalkSlow (Y 0) und Bob_Walk (Y 1) (AnimSets/player/movement/defaultWalk.xml Z. 6, 8; run/defaultRun.xml Z. 8; sprint/defaultSprint.xml Z. 8), kein Tempofaktor: die Strecke hat darum keinen Code-Soll, nur den Wert von Trait Facts
# laut Code: IsoPlayer.getMoveSpeed (Z. 1662-1666) x1.1 auf Stufe 4, gelesen nur von getPathSpeed (Z. 1024-1025) ohne Aufrufer (Spielfehler adrenaline-movespeed); wirkte sie, laege tempo 10 % ueber dem Wert von Trait Facts
# Sprinting fest auf 0, Fitness fest auf 5 (Stufe und XP, jeden Tick gehalten); 3 Mal zurueckgesetzt; Ticks mit anderer Sprinting-Stufe zaehlen nicht (stufe_verworfen)

[ergebnis]
ergebnis|werte=4|stimmen=4|weichen_ab=0|nicht_messbar=0|phasen=18

[werte] wert|groesse|trait|faktor|soll_mod|soll_code|urteil|phasen|notiz
wert|runspeed_stufe3|adrenalinejunkie|1.3077|-|1.3077|stimmt|4|Variable WalkSpeed beim Rennen (traegt das Renntempo), Sprinting 0
wert|tempo_rennen_stufe3|adrenalinejunkie|1.1350|1.1200|-|stimmt|4|Strecke je Multiplier, Rennen auf Stufe 3: der reale Wert; kein Code-Soll, WalkSpeed ist eine Blendlage
wert|sprintspeed_stufe3|adrenalinejunkie|1.3077|-|1.3077|stimmt|4|Variable WalkSpeed beim Sprinten (traegt das Renntempo), Sprinting 0
wert|tempo_sprint_stufe3|adrenalinejunkie|1.1168|1.1000|-|stimmt|4|Strecke je Multiplier, Sprinten auf Stufe 3: der reale Wert; kein Code-Soll, WalkSpeed ist eine Blendlage

[teile] teil|id|gangart|panikstufe|phasen (seit 6.33.0; die Werte mit _stufe3 und _rennen gehoeren zu Teil 2 und 3)
teil|rennen3|rennen|3|1-9
teil|sprint3|sprint|3|10-18

[phasen] phase|nr|adrenalinejunkie|ticks|tempo|felder_je_s|walkspeed|getmovespeed|nicht_gezaehlt|sprinting|sprinting_gesehen|fitness_gesehen|stufe_verworfen
phase|1|0|300|0.087847|4.2172|0.6500|0.060000|57|0|0|5|0
phase|2|1|300|0.099914|4.7952|0.8500|0.060000|0|0|0|5|0
phase|3|0|300|0.088221|4.2360|0.6500|0.060000|0|0|0|5|0
phase|4|1|300|0.100003|4.7982|0.8500|0.060000|0|0|0|5|0
phase|5|0|300|0.087960|3.7937|0.6500|0.060000|0|0|0|5|0
phase|6|1|300|0.099953|4.7970|0.8500|0.060000|0|0|0|5|0
phase|7|0|300|0.088082|4.2271|0.6500|0.060000|0|0|0|5|0
phase|8|1|300|0.100023|4.8004|0.8500|0.060000|0|0|0|5|0
phase|9|0|300|0.088305|4.2392|0.6500|0.060000|0|0|0|5|0
phase|10|0|300|0.107918|5.1793|0.6500|0.060000|112|0|0|5|0
phase|11|1|300|0.122773|5.8934|0.8500|0.060000|0|0|0|5|0
phase|12|0|300|0.110177|5.2893|0.6500|0.060000|0|0|0|5|0
phase|13|1|300|0.122482|5.8764|0.8500|0.060000|0|0|0|5|0
phase|14|0|300|0.110225|5.2908|0.6500|0.060000|0|0|0|5|0
phase|15|1|300|0.122695|5.8887|0.8500|0.060000|0|0|0|5|0
phase|16|0|300|0.110049|5.2830|0.6500|0.060000|0|0|0|5|0
phase|17|1|300|0.122793|5.8910|0.8500|0.060000|0|0|0|5|0
phase|18|0|300|0.110010|5.2816|0.6500|0.060000|0|0|0|5|0
