# Axt-Schwung bei anderem Skill: Ax-pert, Messung an einer lebenden Figur (Messliste B17)
# Mess-Mod 6.51.0, TFMeasureAxtSkill.lua
# Build 42.20
# Schalter: god=true ausdauer=true (Ausdauer unbegrenzt haelt das Moodle Erschoepfung auf 0)
# je Teil 20 gemessene Schlaege in die Luft, Schlag 0 Warmlauf, Ax-pert wechselt alle 2
# Waffe in beiden Haenden; Skill und Fitness vor jedem Schlag geprueft
# schwung = Takt mit/ohne, dauer = Schwungdauer mit/ohne, tempo = CombatSpeed ohne/mit
# erwartet = Modell calculateCombatSpeed (IsoGameCharacter:8825), Zeit mit/ohne,
#   gemittelt ueber Rand.Next(1.1, 1.2), ohne Moodles; Liste B17: -18 %, -12 %, Spitzhacke -6 %

[ergebnis]
teil|axt0|waffe=Base.Axe|basis=1.000|axt=0|fitness=5|takt_ohne_ms=936.1|takt_mit_ms=739.7|schwung=0.7902|dauer=0.7879|tempo_ohne=0.8528|tempo_mit=1.0239|tempo=0.8328|erwartet=0.8222|erwartet_tempo_ohne=0.8510|erwartet_tempo_mit=1.0350|schlaege=10/10
teil|axt10|waffe=Base.Axe|basis=1.000|axt=10|fitness=10|takt_ohne_ms=524.0|takt_mit_ms=436.5|schwung=0.8330|dauer=0.8312|tempo_ohne=1.3145|tempo_mit=1.4813|tempo=0.8874|erwartet=0.8769|erwartet_tempo_ohne=1.3110|erwartet_tempo_mit=1.4950|schlaege=10/10
teil|picke|waffe=Base.PickAxe|basis=0.800|axt=0|fitness=5|takt_ohne_ms=1014.7|takt_mit_ms=948.1|schwung=0.9344|dauer=0.9321|tempo_ohne=0.8000|tempo_mit=0.8458|tempo=0.9459|erwartet=0.9407|erwartet_tempo_ohne=0.8000|erwartet_tempo_mit=0.8510|schlaege=10/10

[schlaege] teil|nr|axeman|takt_ms|dauer_ms|combatspeed|erschoepfung|ueberladung|axt|fitness
schlag|axt0|0|0|965|955|0.8327|0|0|0|5
schlag|axt0|1|0|901|890|0.8758|0|0|0|5
schlag|axt0|2|0|966|962|0.8283|0|0|0|5
schlag|axt0|3|1|751|740|1.0207|0|0|0|5
schlag|axt0|4|1|751|739|1.0099|0|0|0|5
schlag|axt0|5|0|933|922|0.8551|0|0|0|5
schlag|axt0|6|0|998|985|0.8202|0|0|0|5
schlag|axt0|7|1|752|740|1.0049|0|0|0|5
schlag|axt0|8|1|739|732|1.0177|0|0|0|5
schlag|axt0|9|0|950|945|0.8417|0|0|0|5
schlag|axt0|10|0|900|895|0.8818|0|0|0|5
schlag|axt0|11|1|700|693|1.0680|0|0|0|5
schlag|axt0|12|1|762|750|0.9995|0|0|0|5
schlag|axt0|13|0|883|871|0.8872|0|0|0|5
schlag|axt0|14|0|931|921|0.8495|0|0|0|5
schlag|axt0|15|1|700|690|1.0680|0|0|0|5
schlag|axt0|16|1|724|718|1.0387|0|0|0|5
schlag|axt0|17|0|927|916|0.8647|0|0|0|5
schlag|axt0|18|0|972|968|0.8232|0|0|0|5
schlag|axt0|19|1|751|745|1.0137|0|0|0|5
schlag|axt0|20|1|767|761|0.9982|0|0|0|5
schlag|axt0|21|0|-|-|0.8503|0|0|0|5
schlag|axt10|0|0|528|517|1.3183|0|0|10|10
schlag|axt10|1|0|550|537|1.2660|0|0|10|10
schlag|axt10|2|0|539|532|1.2830|0|0|10|10
schlag|axt10|3|1|461|450|1.4435|0|0|10|10
schlag|axt10|4|1|405|400|1.5443|0|0|10|10
schlag|axt10|5|0|493|483|1.3643|0|0|10|10
schlag|axt10|6|0|532|521|1.3085|0|0|10|10
schlag|axt10|7|1|453|441|1.4500|0|0|10|10
schlag|axt10|8|1|435|422|1.4982|0|0|10|10
schlag|axt10|9|0|503|498|1.3420|0|0|10|10
