# Fenster aufbrechen: Runner (jogger) und Burglar am verriegelten Fenster
# Mess-Mod 6.51.0
# Build 42.20
# gespielt, nicht aufgerufen: OpenWindowState.onAttemptFinished ist privat und nur ueber AnimEvent erreichbar
# Fenster 10826,9436,0 W, Strength 5, Fitness 5, Alarm keiner
# Schalter beim Start: isGodMod=false cheatStand.god=true godPause=true UnlimitedEndurance=false ausdauerAus=true
# Schalter am Ende:   isGodMod=false cheatStand.god=true godPause=true UnlimitedEndurance=false ausdauerAus=true
# verglichen mit soll_mod (TF_Static), sonst soll_code; Toleranz je Zeile in der Notiz
# aus den Versuchen: je Fenster 45.0 % ohne, 22.5 % mit Burglar

[ergebnis]
ergebnis|werte=8|stimmen=8|weichen_ab=0|nicht_messbar=0|verworfen=0

[werte] id|trait|ohne|mit|faktor|soll_mod|soll_code|urteil|notiz
wert|normal|jogger|0.0000|0.0000|0.0000|-|0.0000|stimmt|Verlust je Oeffnen und Schliessen, faktor = der groessere; Abzuege ueber 0.001: 0 ohne, 0 mit Runner (soll 0)
wert|aufbrechen|jogger|0.0060|0.0054|0.9000|0.9000|0.9000|stimmt|Abzug je Versuch, 180 Versuche ohne, 46 mit Runner
wert|aufbrechen_abzug|ohne|0.0060|-|0.0060|-|0.0060|stimmt|Abzug je Versuch bei Fitness 5, Toleranz 5 %
wert|fensterklemmt|ohne|45.0000|-|45.0000|49.0000|48.9996|stimmt|Prozent der Fenster, die klemmen: 18 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|fensterklemmt|burglar|-|22.5000|22.5000|31.0000|31.2763|stimmt|Prozent der Fenster, die klemmen: 9 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|versuchklemmt|burglar|10.0000|3.9823|0.3982|-|0.5000|stimmt|Prozent Klemmen je Versuch, 180 und 226 Versuche (soll 10 und 5, Z. 163-168); Toleranz 2 Standardfehler
wert|versuchauf|ohne|13.5802|-|13.5802|-|11.5648|stimmt|Prozent Oeffnen je nicht klemmendem Versuch, 162 Versuche (Z. 177-188)
wert|versuchauf|burglar|-|14.2857|14.2857|-|11.5648|stimmt|dasselbe mit Burglar, 217 Versuche; Burglar aendert s nicht

[durchgaenge] nr|art|fall|ergebnis|ausgang|gilt|versuche|ticks|regen_je_tick|verlust|abzuege
durchgang|1|oeffnen|ohne|auf|fertig|1|0|212|0.0000000|0.00000|
durchgang|2|schliessen|ohne|zu|fertig|1|0|246|0.0000000|0.00000|
durchgang|3|oeffnen|jogger|auf|fertig|1|0|211|0.0000000|0.00000|
durchgang|4|schliessen|jogger|zu|fertig|1|0|251|0.0000000|0.00000|
durchgang|5|oeffnen|ohne|auf|fertig|1|0|212|0.0000000|0.00000|
durchgang|6|schliessen|ohne|zu|fertig|1|0|253|0.0000000|0.00000|
durchgang|7|oeffnen|jogger|auf|fertig|1|0|207|0.0000000|0.00000|
durchgang|8|schliessen|jogger|zu|fertig|1|0|251|0.0000000|0.00000|
durchgang|9|ringen|ohne|auf|fertig|1|1|304|0.0000000|0.00600|0.00600
durchgang|10|ringen|burglar|auf|fertig|1|7|897|0.0000000|0.04200|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|11|ringen|jogger|auf|fertig|1|5|670|0.0000000|0.02700|0.00540,0.00540,0.00540,0.00540,0.00540
durchgang|12|ringen|ohne|auf|fertig|1|7|910|0.0000000|0.04200|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|13|ringen|burglar|auf|fertig|1|1|311|0.0000000|0.00600|0.00600
durchgang|14|ringen|jogger|auf|fertig|1|4|612|0.0000000|0.02160|0.00540,0.00540,0.00540,0.00540
durchgang|15|ringen|ohne|klemmt|fertig|1|11|1149|0.0000000|0.06600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|16|ringen|burglar|auf|fertig|1|5|703|0.0000000|0.03000|0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|17|ringen|jogger|klemmt|fertig|1|4|447|0.0000000|0.02160|0.00540,0.00540,0.00540,0.00540
durchgang|18|ringen|ohne|auf|fertig|1|6|714|0.0000000|0.03600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|19|ringen|burglar|auf|fertig|1|1|301|0.0000000|0.00600|0.00600
durchgang|20|ringen|jogger|klemmt|fertig|1|1|150|0.0000000|0.00540|0.00540
durchgang|21|ringen|ohne|klemmt|fertig|1|6|634|0.0000000|0.03600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|22|ringen|burglar|auf|fertig|1|3|500|0.0000000|0.01800|0.00600,0.00600,0.00600
durchgang|23|ringen|jogger|auf|fertig|1|1|302|0.0000000|0.00540|0.00540
durchgang|24|ringen|ohne|auf|fertig|1|2|400|0.0000000|0.01200|0.00600,0.00600
durchgang|25|ringen|burglar|klemmt|fertig|1|4|448|0.0000000|0.02400|0.00600,0.00600,0.00600,0.00600
durchgang|26|ringen|jogger|auf|fertig|1|1|305|0.0000000|0.00540|0.00540
durchgang|27|ringen|ohne|klemmt|fertig|1|1|144|0.0000000|0.00600|0.00600
durchgang|28|ringen|burglar|auf|fertig|1|1|308|0.0000000|0.00600|0.00600
durchgang|29|ringen|jogger|klemmt|fertig|1|1|141|0.0000000|0.00540|0.00540
durchgang|30|ringen|ohne|auf|fertig|1|1|308|0.0000000|0.00600|0.00600
durchgang|31|ringen|burglar|auf|fertig|1|2|394|0.0000000|0.01200|0.00600,0.00600
durchgang|32|ringen|jogger|klemmt|fertig|1|4|443|0.0000000|0.02160|0.00540,0.00540,0.00540,0.00540
durchgang|33|ringen|ohne|klemmt|fertig|1|10|1046|0.0000000|0.06000|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|34|ringen|burglar|auf|fertig|1|2|383|0.0000000|0.01200|0.00600,0.00600
durchgang|35|ringen|jogger|auf|fertig|1|4|576|0.0000000|0.02160|0.00540,0.00540,0.00540,0.00540
durchgang|36|ringen|ohne|klemmt|fertig|1|2|239|0.0000000|0.01200|0.00600,0.00600
