# Schubsen: welcher Taumel nach einem Stoss, ohne Trait, mit Strong und mit Weak (Puny)
# Mess-Mod 6.51.0
# Build 42.20
# Stoss aus Lua: setDoShove(true), AttemptAttack(); Haende leer, Strength 5, Abstand 0.700, Ausdauer 1, Panik/Stress/Muedigkeit 0 vor jedem Stoss
# Zombie useless, Zombies greifen nicht an; kritische Stoesse zurueckgenommen (OnWeaponSwingHitPoint), gezaehlt in krit_wurf
# gelesen: damageSplit und Abstand beim Treffer (OnWeaponHitCharacter), getHitForce im Tick danach,
#   Knoten/Clip aus getAnimationDebug, Aktionszustand, Weg ab dem Treffer bis zum Ende des Taumels (Zustand mit 'stagger'), mindestens 150, hoechstens 900 Ticks; pfad = Abstand zur Trefferstelle alle 10 Ticks
# laut Code: hitforce > 0.4 -> fromFront Zombie_ShoveStagger_2m, < 0.4 -> smallFromFront Zombie_StaggerBack;
#   von hinten beide Zombie_PushedFwd_FromBehind (AnimSets/zombie/staggerback);
#   hitforce = min(1, damageSplit x rangeDel x 1.5 / 2.7 x ShovingMod) x 1.4 Strong / x 0.6 Weak
#   (IsoGameCharacter.java:5701-5703, 5758-5788; CombatManager.java:789-833)
#   damageSplit vorher x |1 - Schutz/100| am getroffenen Teil, Teil gleichverteilt Hand_L..Neck; Schutz = min(ZombiesMaxDefense, (Kratz x 0.5 + Biss) x ZombiesArmorFactor)
#   (CombatManager.java:928-929, 3245-3257, 3296-3298)
# erwartet_lang = Mittel je Stoss des Anteils ueber 0.4 bei gleichverteiltem Schadenswurf 0.2..0.4, gemittelt ueber die zehn Teile mit der Kleidung des Zombies vor dem Stoss; erwartet_ohne_kleidung = dieselbe Rechnung ohne Kleidung; urteil: |anteil - erwartet| <= 2 sigma + 0.05
# Stoesse ohne Treffer: 0; Zombies gesetzt: 1; Stellfehler: 0

[ergebnis]
ergebnis|stoesse=110|schwelle_stimmt=110|schwelle_n=110|kraft_stimmt=110|kraft_n=110|seite_anders=0

[ruestung] zombie|outfit|armor_factor|max_defense|sandbox|schutz_mittel|teile (Kratz/Biss>Schutz)
ruestung|1|Generic01|2.000|85|gelesen|30.750|Hand_L=0.0/0.0>0.0,Hand_R=0.0/0.0>0.0,ForeArm_L=35.0/10.0>55.0,ForeArm_R=35.0/10.0>55.0,UpperArm_L=35.0/10.0>55.0,UpperArm_R=35.0/10.0>55.0,Torso_Upper=35.0/10.0>55.0,Torso_Lower=10.0/0.0>10.0,Head=0.0/0.0>0.0,Neck=12.5/5.0>22.5

[faelle] fall|seite|stoesse|lang|kurz|umgeworfen|anderes|anteil_lang|erwartet_lang|urteil|hitforce_mittel|hitforce_min|hitforce_max|weg_lang_m|weg_kurz_m|krit_wurf|clips|erwartet_ohne_kleidung|taumel_ticks_lang|taumel_ticks_kurz
fall|ohne|vorn|30|4|26|0|0|0.133|0.194|stimmt|0.254|0.133|0.475|0.661|0.592|14|Zombie_ShoveStagger_2m=4,Zombie_StaggerBack=26|0.507|76|78
fall|strong|vorn|30|15|15|0|0|0.500|0.424|stimmt|0.392|0.179|0.661|0.658|0.592|13|Zombie_ShoveStagger_2m=15,Zombie_StaggerBack=15|0.933|77|79
fall|weak|vorn|30|0|30|0|0|0.000|0.000|stimmt|0.164|0.080|0.314|-|0.591|17|Zombie_StaggerBack=30|0.000|-|79
fall|ohne|hinten|10|0|10|0|0|0.000|0.194|stimmt|0.226|0.132|0.284|-|0.401|6|Zombie_PushedFwd_FromBehind=10|0.507|-|78
fall|strong|hinten|10|5|5|0|0|0.500|0.424|stimmt|0.418|0.215|0.703|0.402|0.400|5|Zombie_PushedFwd_FromBehind=10|0.934|75|79

[stoesse] nr|fall|seite|abstand|damage_split|hitforce|hitforce_soll|spanne|p_lang|position|knoten|clip|klasse|soll|weg_m|krit_wurf|krit|stoss|reaktion|ausdauer|moodles|zustaende|zombie|p_ohne_kleidung|weg_ende_m|taumel_ticks|pfad
stoss|1|ohne|vorn|0.664|0.374|0.251|0.251|0.121-0.537|0.195|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.588|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.509|0.588|76|0.00,0.00,0.03,0.10,0.21,0.31,0.42,0.52
stoss|2|ohne|vorn|0.659|0.293|0.195|0.195|0.120-0.533|0.189|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.590|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.498|0.590|80|0.00,0.00,0.03,0.08,0.17,0.27,0.38,0.49,0.59
stoss|3|ohne|vorn|0.661|0.405|0.271|0.271|0.120-0.534|0.191|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.592|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.503|0.592|78|0.00,0.00,0.03,0.09,0.18,0.29,0.41,0.51
stoss|4|ohne|vorn|0.668|0.212|0.143|0.143|0.121-0.540|0.199|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.598|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.518|0.598|81|0.00,0.00,0.03,0.08,0.17,0.27,0.37,0.48,0.59
stoss|5|ohne|vorn|0.660|0.446|0.298|0.298|0.120-0.533|0.190|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.593|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.500|0.593|79|0.00,0.00,0.03,0.10,0.19,0.29,0.40,0.50
stoss|6|strong|vorn|0.662|0.317|0.297|0.297|0.169-0.749|0.423|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.588|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.932|0.588|79|0.00,0.00,0.03,0.09,0.18,0.28,0.38,0.50
stoss|7|strong|vorn|0.661|0.617|0.576|0.576|0.168-0.748|0.422|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.653|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.653|79|0.00,0.00,0.03,0.10,0.21,0.34,0.45,0.56
stoss|8|strong|vorn|0.661|0.280|0.262|0.262|0.168-0.748|0.422|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.596|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.930|0.596|78|0.00,0.00,0.03,0.08,0.19,0.30,0.41,0.51
stoss|9|strong|vorn|0.662|0.344|0.322|0.322|0.169-0.749|0.423|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.591|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.932|0.591|81|0.00,0.00,0.02,0.08,0.17,0.26,0.37,0.48,0.58
stoss|10|strong|vorn|0.662|0.331|0.310|0.310|0.169-0.749|0.423|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.601|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.932|0.601|66|0.00,0.00,0.04,0.11,0.24,0.38,0.53
stoss|11|weak|vorn|0.667|0.427|0.173|0.173|0.073-0.323|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.596|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.596|81|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.48,0.59
stoss|12|weak|vorn|0.660|0.249|0.099|0.099|0.072-0.320|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.593|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.593|80|0.00,0.00,0.03,0.09,0.17,0.28,0.38,0.49,0.59
