# XP-Leiter, Messung an einer lebenden Figur
# Mess-Mod 6.51.1
# Build 42.20
# je Skill: Skillstufe 0-9, Boost 0-5, je 20 XP ueber AddXP
# Sandbox-Faktor (MultiplierConfig): Global 1
# Proteine -205.4, Faktor fuer Strength 1.00 (AddXP 15500-15508)
# waehrend der Leiter abgenommen: keine
# soll wie TF_XpColumns (0.25 / 1.0 / 1.33 / 1.66, Sprinting 1.0 / 1.25, Strength und Fitness 1.0) x Sandbox (x Proteinfaktor bei Strength); Toleranz 0.1 %

[ergebnis]
ergebnis|werte=48|stimmen=48|weichen_ab=0|nicht_messbar=0

[vergleich] skill|boost|soll|gemessen|urteil
vergleich|Woodwork|boost=0|soll=0.2500|gemessen=0.2500 bis 0.2500|stimmt
vergleich|Woodwork|boost=1|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Woodwork|boost=2|soll=1.3300|gemessen=1.3300 bis 1.3300|stimmt
vergleich|Woodwork|boost=3|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Woodwork|boost=4|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Woodwork|boost=5|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Blacksmith|boost=0|soll=0.2500|gemessen=0.2500 bis 0.2500|stimmt
vergleich|Blacksmith|boost=1|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Blacksmith|boost=2|soll=1.3300|gemessen=1.3300 bis 1.3300|stimmt
vergleich|Blacksmith|boost=3|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Blacksmith|boost=4|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Blacksmith|boost=5|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Maintenance|boost=0|soll=0.2500|gemessen=0.2500 bis 0.2500|stimmt
vergleich|Maintenance|boost=1|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Maintenance|boost=2|soll=1.3300|gemessen=1.3300 bis 1.3300|stimmt
vergleich|Maintenance|boost=3|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Maintenance|boost=4|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Maintenance|boost=5|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Cooking|boost=0|soll=0.2500|gemessen=0.2500 bis 0.2500|stimmt
vergleich|Cooking|boost=1|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Cooking|boost=2|soll=1.3300|gemessen=1.3300 bis 1.3300|stimmt
vergleich|Cooking|boost=3|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Cooking|boost=4|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Cooking|boost=5|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Aiming|boost=0|soll=0.2500|gemessen=0.2500 bis 0.2500|stimmt
vergleich|Aiming|boost=1|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Aiming|boost=2|soll=1.3300|gemessen=1.3300 bis 1.3300|stimmt
vergleich|Aiming|boost=3|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Aiming|boost=4|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Aiming|boost=5|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Sprinting|boost=0|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
