# Adrenalin: Gehtempo bei Panik mit Adrenaline Junkie, Messung an einer lebenden Figur
# Mess-Mod 6.53.0
# Build 42.20
# je Phase 300 gezaehlte Ticks Gehen (ohne Shift), nach jedem Umschalten und jeder Pause 15 Ticks Anlauf; Panik in jedem Tick auf 90 (Stufe 4), Ausdauer auf 1; God Mode aus
# Anlauf beim Rennen und Sprinten nach jedem Gangwechsel und jeder Pause 60 Ticks (seit 25.09.2026; die erste Phase ohne nach dem Wechsel war mit 15 Ticks rund 2 % zu langsam)
# Grundtempo je Tick (seit 25.09.2026): WalkSpeed laut Code Gehen min(1, 0.8 + Zuschlag), Rennen und Sprinten min(1, 0.65 + Zuschlag + Sprinting/20), Zuschlag (Stufe+1)/20 mit Trait ab Panikstufe 3 (IsoGameCharacter Z. 8754-8797, 8964-8967, Deckel Z. 8985-8986, runOrSprint Z. 8963/9004); weicht der gelesene Wert um mehr als 0.002 ab, zaehlt der Tick nicht (ws_verworfen), und der Anlauf beginnt neu
# Stoerer des Grundtempos: draussen auf Naturboden Naesse x 0.25 (Z. 8787-8789), Sand 0.05 (Z. 8791-8792), Unterkuehlung oder Hitze ab Stufe 2 x0.66/x0.33/x0 (Z. 8987-8991, Thermoregulator Z. 318-337), Schuhe, Taschen, Verletzungen; ws_min/ws_max = alle gelesenen Werte der Phase, auch verworfene
# WalkSpeed ohne Trait im Mittel 0.8000 (0.8000 mit Schuhen, ohne Last, bei normaler Waerme)
# tempo = Summe Strecke / Summe Multiplier; walkspeed und getmovespeed = Mittel der gezaehlten Ticks; felder_je_s aus der Uhr
# faktor = Phase mit Trait / Mittel der Nachbarphasen ohne; Toleranz 3 %, WalkSpeed-Zeilen absolut 0.006
# seit 25.09.2026 nur saubere Paare: die Phase mit Trait und die Nachbarn ohne, die zaehlen, trafen im Mittel das Grundtempo laut Code; paare = gezaehlte Paare, paare_verworfen = Phasen mit Trait ohne sauberen Nachbarn
# laut Code: calculateBaseSpeed (IsoGameCharacter Z. 8754-8764) 0.8, mit Adrenaline Junkie ab Panikstufe 3 +(Stufe+1)/20, auf Stufe 4 1.05; calculateWalkSpeed deckelt bei 1.0 (Z. 8985): WalkSpeed 1.0 statt 0.8
# WalkSpeed ist m_Scalar2, die Blendlage zwischen Bob_WalkSlow (Y 0) und Bob_Walk (Y 1) (AnimSets/player/movement/defaultWalk.xml Z. 6, 8; run/defaultRun.xml Z. 8; sprint/defaultSprint.xml Z. 8), kein Tempofaktor: die Strecke hat darum keinen Code-Soll, nur den Wert von Trait Facts
# laut Code: IsoPlayer.getMoveSpeed (Z. 1662-1666) x1.1 auf Stufe 4, gelesen nur von getPathSpeed (Z. 1024-1025) ohne Aufrufer (Spielfehler adrenaline-movespeed); wirkte sie, laege tempo 10 % ueber dem Wert von Trait Facts
# Sprinting fest auf 0, Fitness fest auf 5 (Stufe und XP, jeden Tick gehalten); 7 Mal zurueckgesetzt; Ticks mit anderer Sprinting-Stufe zaehlen nicht (stufe_verworfen)

[ergebnis]
ergebnis|werte=13|stimmen=13|weichen_ab=0|nicht_messbar=0|phasen=34

[werte] wert|groesse|trait|faktor|soll_mod|soll_code|urteil|paare|paare_verworfen|notiz
wert|walkspeed|adrenalinejunkie|1.2500|-|1.2500|stimmt|4|0|Animationsvariable WalkSpeed (Blendlage Bob_WalkSlow/Bob_Walk), gedeckelt bei 1.0
wert|getmovespeed|adrenalinejunkie|1.1000|-|1.1000|stimmt|4|0|IsoPlayer.getMoveSpeed; zeigt, dass Panikstufe 4 stand
wert|tempo|adrenalinejunkie|1.0825|1.0800|-|stimmt|4|0|Strecke je Multiplier: der reale Wert; kein Code-Soll, WalkSpeed ist eine Blendlage
wert|walkspeed_stufe3|adrenalinejunkie|1.2500|-|1.2500|stimmt|2|0|Animationsvariable WalkSpeed auf Panikstufe 3: 0.8 + 0.20
wert|tempo_stufe3|adrenalinejunkie|1.0807|1.0800|-|stimmt|2|0|Strecke je Multiplier, Gehen auf Stufe 3: der reale Wert; kein Code-Soll, WalkSpeed ist eine Blendlage
wert|runspeed|adrenalinejunkie|1.3846|-|1.3846|stimmt|2|0|Variable WalkSpeed beim Rennen (traegt das Renntempo), Sprinting 0
wert|tempo_rennen|adrenalinejunkie|1.1680|1.1700|-|stimmt|2|0|Strecke je Multiplier, Rennen auf Stufe 4: der reale Wert; kein Code-Soll, WalkSpeed ist eine Blendlage
wert|sprintspeed|adrenalinejunkie|1.3846|-|1.3846|stimmt|2|0|Variable WalkSpeed beim Sprinten (traegt das Renntempo), Sprinting 0
wert|tempo_sprint|adrenalinejunkie|1.1439|1.1500|-|stimmt|2|0|Strecke je Multiplier, Sprinten auf Stufe 4: der reale Wert; kein Code-Soll, WalkSpeed ist eine Blendlage
wert|runspeed_stufe3|adrenalinejunkie|1.3077|-|1.3077|stimmt|2|0|Variable WalkSpeed beim Rennen (traegt das Renntempo), Sprinting 0
wert|tempo_rennen_stufe3|adrenalinejunkie|1.1339|1.1200|-|stimmt|2|0|Strecke je Multiplier, Rennen auf Stufe 3: der reale Wert; kein Code-Soll, WalkSpeed ist eine Blendlage
wert|sprintspeed_stufe3|adrenalinejunkie|1.3077|-|1.3077|stimmt|2|0|Variable WalkSpeed beim Sprinten (traegt das Renntempo), Sprinting 0
wert|tempo_sprint_stufe3|adrenalinejunkie|1.1147|1.1000|-|stimmt|2|0|Strecke je Multiplier, Sprinten auf Stufe 3: der reale Wert; kein Code-Soll, WalkSpeed ist eine Blendlage

[teile] teil|id|gangart|panikstufe|phasen (seit 6.33.0; die Werte mit _stufe3 und _rennen gehoeren zu Teil 2 und 3)
teil|gehen4|gehen|4|1-9
teil|gehen3|gehen|3|10-14
teil|rennen4|rennen|4|15-19
teil|sprint4|sprint|4|20-24
teil|rennen3|rennen|3|25-29
teil|sprint3|sprint|3|30-34

[phasen] phase|nr|adrenalinejunkie|ticks|tempo|felder_je_s|walkspeed|getmovespeed|nicht_gezaehlt|sprinting|sprinting_gesehen|fitness_gesehen|stufe_verworfen|ws_verworfen|ws_min|ws_max
phase|1|0|300|0.045478|2.1831|0.8000|0.060000|0|0|0|5|0|0|0.8000|0.8000
phase|2|1|300|0.049171|2.3567|1.0000|0.066000|0|0|0|5|0|0|1.0000|1.0000
phase|3|0|300|0.045516|2.1836|0.8000|0.060000|0|0|0|5|0|0|0.8000|0.8000
phase|4|1|300|0.049276|2.3697|1.0000|0.066000|0|0|0|5|0|0|1.0000|1.0000
phase|5|0|300|0.045355|2.1765|0.8000|0.060000|0|0|0|5|0|0|0.8000|0.8000
phase|6|1|300|0.049127|2.3588|1.0000|0.066000|0|0|0|5|0|0|1.0000|1.0000
phase|7|0|300|0.045348|2.1752|0.8000|0.060000|0|0|0|5|0|0|0.8000|0.8000
phase|8|1|300|0.049148|2.3606|1.0000|0.066000|0|0|0|5|0|0|1.0000|1.0000
phase|9|0|300|0.045554|2.1883|0.8000|0.060000|0|0|0|5|0|0|0.8000|0.8000
phase|10|0|300|0.045618|2.1878|0.8000|0.060000|0|0|0|5|0|0|0.8000|0.8000
phase|11|1|300|0.049009|2.3523|1.0000|0.060000|0|0|0|5|0|0|1.0000|1.0000
phase|12|0|300|0.045273|2.1743|0.8000|0.060000|0|0|0|5|0|0|0.8000|0.8000
phase|13|1|300|0.049103|2.3585|1.0000|0.060000|0|0|0|5|0|0|1.0000|1.0000
phase|14|0|300|0.045400|2.1799|0.8000|0.060000|0|0|0|5|0|0|0.8000|0.8000
phase|15|0|300|0.088068|4.2248|0.6500|0.060000|311|0|0|5|0|0|0.6500|0.6500
phase|16|1|300|0.102841|4.9374|0.9000|0.066000|0|0|0|5|0|0|0.9000|0.9000
phase|17|0|300|0.087968|4.2225|0.6500|0.060000|0|0|0|5|0|0|0.6500|0.6500
phase|18|1|300|0.102772|4.9291|0.9000|0.066000|0|0|0|5|0|0|0.9000|0.9000
phase|19|0|300|0.088085|4.2335|0.6500|0.060000|0|0|0|5|0|0|0.6500|0.6500
phase|20|0|300|0.110099|5.2815|0.6500|0.060000|424|0|0|5|0|0|0.6500|0.6500
phase|21|1|300|0.125997|6.0262|0.9000|0.066000|0|0|0|5|0|0|0.9000|0.9000
phase|22|0|300|0.110213|5.2912|0.6500|0.060000|0|0|0|5|0|0|0.6500|0.6500
phase|23|1|300|0.125991|6.0505|0.9000|0.066000|0|0|0|5|0|0|0.9000|0.9000
phase|24|0|300|0.110046|4.6444|0.6500|0.060000|0|0|0|5|0|0|0.6500|0.6500
phase|25|0|300|0.087965|4.2220|0.6500|0.060000|149|0|0|5|0|0|0.6500|0.6500
phase|26|1|300|0.099975|4.7966|0.8500|0.060000|0|0|0|5|0|0|0.8500|0.8500
phase|27|0|300|0.088303|4.2388|0.6500|0.060000|0|0|0|5|0|0|0.6500|0.6500
phase|28|1|300|0.099899|4.7944|0.8500|0.060000|0|0|0|5|0|0|0.8500|0.8500
phase|29|0|300|0.087974|4.2229|0.6500|0.060000|0|0|0|5|0|0|0.6500|0.6500
phase|30|0|300|0.109784|5.2662|0.6500|0.060000|116|0|0|5|0|0|0.6500|0.6500
phase|31|1|300|0.122631|5.8649|0.8500|0.060000|0|0|0|5|0|0|0.8500|0.8500
phase|32|0|300|0.110165|5.2888|0.6500|0.060000|0|0|0|5|0|0|0.6500|0.6500
phase|33|1|300|0.122845|5.2933|0.8500|0.060000|0|0|0|5|0|0|0.8500|0.8500
phase|34|0|300|0.110337|5.2964|0.6500|0.060000|0|0|0|5|0|0|0.6500|0.6500
